
Nicolas,"[6006, 10920, 9702, 12210, 11556, 9312, 115]"
Nicolas,"[247.26, 332.84999999999997, 313.83, 351.87, 342.36, 307.49, 115]"
Nicolas,"[78.0, 104.99999999999999, 99.0, 111.0, 108.0, 97.0, 115]"
Nicolas,"[78.0, 104.99999999999999, 99.0, 111.0, 108.0, 97.0, 115.0]"
Nicolas,"[78.0, 104.99999999999999, 99.0, 111.0, 108.0, 97.0, 115.0]"
Nicolas,"[78, 105, 99, 111, 108, 97, 115]"
Nicolas,"[78, 105, 99, 111, 108, 97, 115]"
Nicolas,"[78.0, 105.0, 99.00000000000001, 111.0, 108.0, 97.0, 115.00000000000001]"
Nicolas,"[245.04422698000386, 329.8672286269283, 311.01767270538954, 348.71678454846705, 339.29200658769764, 304.7344873982099, 361.28315516282623]"
Nicolas,"[7.922596265934973, 20.157212521460227, 16.75521047869955, 24.00206820894134, 22.022476391463805, 15.714642516398499, 26.825647762816633]"
Nicolas,"[312432.88654138957, 498354.3071720274, 454357.7316477152, 543810.1529048223, 520902.0364898044, 440022.85218445864, 574907.6500496961]"
Nicolas,"[937.7676607341405, 1495.811014093052, 1363.7552431193985, 1632.2467862405147, 1563.4880490277123, 1320.729086270244, 1725.585958934717]"
Nicolas,"[937.7676607341405, 1495.811014093052, 1363.7552431193985, 1632.2467862405147, 1563.4880490277123, 1320.729086270244, 1725.585958934717]"
Nicolas,"[937.7676607341405, 1495.811014093052, 1363.7552431193985, 1632.2467862405147, 1563.4880490277123, 1320.729086270244, 1725.585958934717]"
Nicolas,"[937.7676607341405, 1495.811014093052, 1363.7552431193985, 1632.2467862405147, 1563.4880490277123, 1320.729086270244, 1725.585958934717]"
Nicolas,"[937.7676607341405, 1495.811014093052, 1363.7552431193985, 1632.2467862405147, 1563.4880490277123, 1320.729086270244, 1725.585958934717]"
Nicolas,"[937.7676607341405, 1495.811014093052, 1363.7552431193985, 1632.2467862405147, 1563.4880490277123, 1320.729086270244, 1725.585958934717]"
Nicolas,"[312432.88654138957, 498354.3071720274, 454357.7316477152, 543810.1529048223, 520902.0364898044, 440022.85218445864, 574907.6500496961]"
Nicolas,"[0.003711777532809767, 0.00592056854583091, 0.005397878689588531, 0.006460594881706099, 0.006188440971247028, 0.005227576887763956, 0.006830040596933862]"
Nicolas,"[937.7676607341405, 1495.811014093052, 1363.7552431193985, 1632.2467862405147, 1563.4880490277123, 1320.729086270244, 1725.585958934717]"
Nicolas,"[7.922596265934973, 20.157212521460227, 16.75521047869955, 24.00206820894134, 22.022476391463805, 15.714642516398499, 26.825647762816633]"
Nicolas,"[7.3017538024121444, 15.714642516398499, 28.31877942177059, 26.09962042514629, 20.157212521460227, 23.329277228868648, 23.329277228868648, 17.841785939283593]"
Laurinne,"[7.3017538024121444, 15.714642516398499, 28.31877942177059, 26.09962042514629, 20.157212521460227, 23.329277228868648, 23.329277228868648, 17.841785939283593]"
